Trade(buyOrderId=BUY-1763965650528-006499, sellOrderId=SELL-1763965655403-007276, tradeType=FOREX, price=2.47, quantity=411, timestamp=1766466004608)
Trade(buyOrderId=BUY-1763965650522-001717, sellOrderId=SELL-1763965655393-001827, tradeType=FOREX, price=1.1, quantity=338, timestamp=1766466027414)
Trade(buyOrderId=BUY-1763965650528-006549, sellOrderId=SELL-1763965655390-000118, tradeType=EQUITY, price=100.0, quantity=36, timestamp=1766466027457)
Trade(buyOrderId=BUY-1763965650522-001717, sellOrderId=SELL-1763965655393-001418, tradeType=FOREX, price=7.23, quantity=11, timestamp=1766466027459)
Trade(buyOrderId=BUY-1763965650522-001717, sellOrderId=SELL-1763965655398-004485, tradeType=FOREX, price=1.3, quantity=12, timestamp=1766466027461)
Trade(buyOrderId=BUY-1763965650524-003423, sellOrderId=SELL-1763965655398-004485, tradeType=FOREX, price=1.3, quantity=286, timestamp=1766466027462)
Trade(buyOrderId=BUY-1763965650524-003423, sellOrderId=SELL-1763965655394-002337, tradeType=FOREX, price=2.48, quantity=472, timestamp=1766466027465)
Trade(buyOrderId=BUY-1763965650524-003463, sellOrderId=SELL-1763965655394-002337, tradeType=FOREX, price=2.48, quantity=293, timestamp=1766466027466)
Trade(buyOrderId=BUY-1763965650528-006549, sellOrderId=SELL-1763965655393-001525, tradeType=EQUITY, price=402.38, quantity=37, timestamp=1766466027468)
Trade(buyOrderId=BUY-1763965650528-006549, sellOrderId=SELL-1763965655394-002053, tradeType=EQUITY, price=105.37, quantity=51, timestamp=1766466027469)
Trade(buyOrderId=BUY-1763965650527-005302, sellOrderId=SELL-1763965655394-002053, tradeType=EQUITY, price=105.37, quantity=175, timestamp=1766466027470)
Trade(buyOrderId=BUY-1763965650521-001415, sellOrderId=SELL-1763965655394-002053, tradeType=EQUITY, price=105.37, quantity=22, timestamp=1766466027472)
Trade(buyOrderId=BUY-1763965650529-006857, sellOrderId=SELL-1763965655394-002053, tradeType=EQUITY, price=105.37, quantity=117, timestamp=1766466027473)
Trade(buyOrderId=BUY-1763965650529-006857, sellOrderId=SELL-1763965655390-000000, tradeType=EQUITY, price=200.0, quantity=20, timestamp=1766466027474)
Trade(buyOrderId=BUY-1763965650524-003463, sellOrderId=SELL-1763965655395-002852, tradeType=FOREX, price=4.28, quantity=419, timestamp=1766466027475)
Trade(buyOrderId=BUY-1763965650523-002900, sellOrderId=SELL-1763965655395-002852, tradeType=FOREX, price=4.28, quantity=86, timestamp=1766466027476)
Trade(buyOrderId=BUY-1763965650528-006180, sellOrderId=SELL-1763965655395-002852, tradeType=FOREX, price=4.28, quantity=51, timestamp=1766466027477)
Trade(buyOrderId=BUY-1763965650526-005067, sellOrderId=SELL-1763965655391-000834, tradeType=CRYPTO, price=967.66, quantity=5, timestamp=1766466027478)
Trade(buyOrderId=BUY-1763965650528-006505, sellOrderId=SELL-1763965655391-000834, tradeType=CRYPTO, price=967.66, quantity=2, timestamp=1766466027480)
Trade(buyOrderId=BUY-1763965650526-004705, sellOrderId=SELL-1763965655391-000834, tradeType=CRYPTO, price=967.66, quantity=5, timestamp=1766466027481)
Trade(buyOrderId=BUY-1763965650527-005582, sellOrderId=SELL-1763965655391-000834, tradeType=CRYPTO, price=967.66, quantity=2, timestamp=1766466027482)
Trade(buyOrderId=BUY-1763965650521-001253, sellOrderId=SELL-1763965655391-000834, tradeType=CRYPTO, price=967.66, quantity=1, timestamp=1766466027484)
Trade(buyOrderId=BUY-1763965650529-006825, sellOrderId=SELL-1763965655391-000834, tradeType=CRYPTO, price=967.66, quantity=4, timestamp=1766466027485)
Trade(buyOrderId=BUY-1763965650529-006857, sellOrderId=SELL-1763965655396-003203, tradeType=EQUITY, price=50.75, quantity=45, timestamp=1766466027486)
Trade(buyOrderId=BUY-1763965650527-005355, sellOrderId=SELL-1763965655396-003203, tradeType=EQUITY, price=50.75, quantity=192, timestamp=1766466027487)
Trade(buyOrderId=BUY-1763965650524-003269, sellOrderId=SELL-1763965655396-003203, tradeType=EQUITY, price=50.75, quantity=33, timestamp=1766466027488)
Trade(buyOrderId=BUY-1763965650524-003269, sellOrderId=SELL-1763965655393-001446, tradeType=EQUITY, price=353.48, quantity=51, timestamp=1766466027489)
Trade(buyOrderId=BUY-1763965650523-002598, sellOrderId=SELL-1763965655393-001446, tradeType=EQUITY, price=353.48, quantity=57, timestamp=1766466027490)
Trade(buyOrderId=BUY-1763965650523-002598, sellOrderId=SELL-1763965655393-001645, tradeType=EQUITY, price=139.63, quantity=42, timestamp=1766466027491)
Trade(buyOrderId=BUY-1763965650525-004310, sellOrderId=SELL-1763965655393-001645, tradeType=EQUITY, price=139.63, quantity=14, timestamp=1766466027492)
Trade(buyOrderId=BUY-1763965650529-006981, sellOrderId=SELL-1763965655393-001645, tradeType=EQUITY, price=139.63, quantity=179, timestamp=1766466027494)
Trade(buyOrderId=BUY-1763965650528-005986, sellOrderId=SELL-1763965655393-001645, tradeType=EQUITY, price=139.63, quantity=92, timestamp=1766466027497)
Trade(buyOrderId=BUY-1763965650528-005986, sellOrderId=SELL-1763965655393-001936, tradeType=EQUITY, price=155.04, quantity=37, timestamp=1766466027498)
Trade(buyOrderId=BUY-1763965650520-000942, sellOrderId=SELL-1763965655393-001936, tradeType=EQUITY, price=155.04, quantity=193, timestamp=1766466027499)
Trade(buyOrderId=BUY-1763965650528-005903, sellOrderId=SELL-1763965655393-001936, tradeType=EQUITY, price=155.04, quantity=6, timestamp=1766466027500)
Trade(buyOrderId=BUY-1763965650523-002834, sellOrderId=SELL-1763965655393-001936, tradeType=EQUITY, price=155.04, quantity=102, timestamp=1766466027502)
Trade(buyOrderId=BUY-1763965650529-006825, sellOrderId=SELL-1763965655392-001329, tradeType=CRYPTO, price=3716.76, quantity=3, timestamp=1766466027503)
Trade(buyOrderId=BUY-1763965650528-006064, sellOrderId=SELL-1763965655392-001329, tradeType=CRYPTO, price=3716.76, quantity=3, timestamp=1766466027504)
Trade(buyOrderId=BUY-1763965650528-006064, sellOrderId=SELL-1763965655393-001618, tradeType=CRYPTO, price=2295.09, quantity=3, timestamp=1766466027505)
Trade(buyOrderId=BUY-1763965650520-000941, sellOrderId=SELL-1763965655393-001618, tradeType=CRYPTO, price=2295.09, quantity=1, timestamp=1766466027507)
Trade(buyOrderId=BUY-1763965650523-002457, sellOrderId=SELL-1763965655393-001618, tradeType=CRYPTO, price=2295.09, quantity=3, timestamp=1766466027509)
Trade(buyOrderId=BUY-1763965650527-005734, sellOrderId=SELL-1763965655393-001618, tradeType=CRYPTO, price=2295.09, quantity=7, timestamp=1766466027510)
Trade(buyOrderId=BUY-1763965650524-002997, sellOrderId=SELL-1763965655393-001618, tradeType=CRYPTO, price=2295.09, quantity=2, timestamp=1766466027511)
Trade(buyOrderId=BUY-1763965650525-003880, sellOrderId=SELL-1763965655393-001618, tradeType=CRYPTO, price=2295.09, quantity=2, timestamp=1766466027512)
Trade(buyOrderId=BUY-1763965650522-002259, sellOrderId=SELL-1763965655393-001618, tradeType=CRYPTO, price=2295.09, quantity=1, timestamp=1766466027514)
Trade(buyOrderId=BUY-1763965650523-002834, sellOrderId=SELL-1763965655392-000983, tradeType=EQUITY, price=278.17, quantity=10, timestamp=1766466027515)
Trade(buyOrderId=BUY-1763965650529-007362, sellOrderId=SELL-1763965655392-000983, tradeType=EQUITY, price=278.17, quantity=31, timestamp=1766466027516)
Trade(buyOrderId=BUY-1763965650522-002259, sellOrderId=SELL-1763965655393-001492, tradeType=CRYPTO, price=1461.39, quantity=1, timestamp=1766466027517)
Trade(buyOrderId=BUY-1763965650527-005294, sellOrderId=SELL-1763965655393-001492, tradeType=CRYPTO, price=1461.39, quantity=3, timestamp=1766466027518)
Trade(buyOrderId=BUY-1763965650527-005294, sellOrderId=SELL-1763965655394-001997, tradeType=CRYPTO, price=2607.25, quantity=1, timestamp=1766466027519)
Trade(buyOrderId=BUY-1763965650528-005896, sellOrderId=SELL-1763965655394-001997, tradeType=CRYPTO, price=2607.25, quantity=10, timestamp=1766466027520)
Trade(buyOrderId=BUY-1763965650527-005371, sellOrderId=SELL-1763965655394-001997, tradeType=CRYPTO, price=2607.25, quantity=4, timestamp=1766466027521)
Trade(buyOrderId=BUY-1763965650527-005371, sellOrderId=SELL-1763965655397-003692, tradeType=CRYPTO, price=360.57, quantity=2, timestamp=1766466027523)
Trade(buyOrderId=BUY-1763965650529-006758, sellOrderId=SELL-1763965655397-003692, tradeType=CRYPTO, price=360.57, quantity=8, timestamp=1766466027524)
Trade(buyOrderId=BUY-1763965650526-004873, sellOrderId=SELL-1763965655397-003692, tradeType=CRYPTO, price=360.57, quantity=4, timestamp=1766466027525)
Trade(buyOrderId=BUY-1763965650522-001663, sellOrderId=SELL-1763965655397-003692, tradeType=CRYPTO, price=360.57, quantity=4, timestamp=1766466027527)
Trade(buyOrderId=BUY-1763965650523-002336, sellOrderId=SELL-1763965655397-003692, tradeType=CRYPTO, price=360.57, quantity=5, timestamp=1766466027528)
Trade(buyOrderId=BUY-1763965650524-002987, sellOrderId=SELL-1763965655397-003692, tradeType=CRYPTO, price=360.57, quantity=6, timestamp=1766466027530)
Trade(buyOrderId=BUY-1763965650527-005690, sellOrderId=SELL-1763965655397-003692, tradeType=CRYPTO, price=360.57, quantity=6, timestamp=1766466027531)
Trade(buyOrderId=BUY-1763965650520-000727, sellOrderId=SELL-1763965655397-003692, tradeType=CRYPTO, price=360.57, quantity=3, timestamp=1766466027532)
Trade(buyOrderId=BUY-1763965650528-006180, sellOrderId=SELL-1763965655398-004296, tradeType=FOREX, price=4.98, quantity=24, timestamp=1766466027533)
Trade(buyOrderId=BUY-1763965650528-006384, sellOrderId=SELL-1763965655398-004296, tradeType=FOREX, price=4.98, quantity=449, timestamp=1766466027534)
Trade(buyOrderId=BUY-1763965650529-007439, sellOrderId=SELL-1763965655398-004296, tradeType=FOREX, price=4.98, quantity=312, timestamp=1766466027535)
Trade(buyOrderId=BUY-1763965650529-007362, sellOrderId=SELL-1763965655392-000950, tradeType=EQUITY, price=230.56, quantity=56, timestamp=1766466027537)
Trade(buyOrderId=BUY-1763965650528-006375, sellOrderId=SELL-1763965655392-000950, tradeType=EQUITY, price=230.56, quantity=19, timestamp=1766466027538)
Trade(buyOrderId=BUY-1763965650529-007283, sellOrderId=SELL-1763965655392-000950, tradeType=EQUITY, price=230.56, quantity=170, timestamp=1766466027539)
Trade(buyOrderId=BUY-1763965650527-005711, sellOrderId=SELL-1763965655392-000950, tradeType=EQUITY, price=230.56, quantity=47, timestamp=1766466027541)
Trade(buyOrderId=BUY-1763965650524-003637, sellOrderId=SELL-1763965655392-000950, tradeType=EQUITY, price=230.56, quantity=40, timestamp=1766466027542)
Trade(buyOrderId=BUY-1763965650524-003637, sellOrderId=SELL-1763965655398-004383, tradeType=EQUITY, price=431.01, quantity=89, timestamp=1766466027544)
Trade(buyOrderId=BUY-1763965650522-002209, sellOrderId=SELL-1763965655398-004383, tradeType=EQUITY, price=431.01, quantity=101, timestamp=1766466027545)
Trade(buyOrderId=BUY-1763965650529-007439, sellOrderId=SELL-1763965655398-004452, tradeType=FOREX, price=2.69, quantity=118, timestamp=1766466027547)
Trade(buyOrderId=BUY-1763965650529-007439, sellOrderId=SELL-1763965655392-001110, tradeType=FOREX, price=4.62, quantity=384, timestamp=1766466027549)
Trade(buyOrderId=BUY-1763965650521-001437, sellOrderId=SELL-1763965655392-001110, tradeType=FOREX, price=4.62, quantity=168, timestamp=1766466027550)
Trade(buyOrderId=BUY-1763965650522-002209, sellOrderId=SELL-1763965655392-001170, tradeType=EQUITY, price=282.36, quantity=36, timestamp=1766466027551)
Trade(buyOrderId=BUY-1763965650525-003694, sellOrderId=SELL-1763965655392-001170, tradeType=EQUITY, price=282.36, quantity=129, timestamp=1766466027552)
Trade(buyOrderId=BUY-1763965650520-000674, sellOrderId=SELL-1763965655392-001170, tradeType=EQUITY, price=282.36, quantity=3, timestamp=1766466027553)
Trade(buyOrderId=BUY-1763965650520-000727, sellOrderId=SELL-1763965655392-001387, tradeType=CRYPTO, price=1813.15, quantity=1, timestamp=1766466027554)
Trade(buyOrderId=BUY-1763965650529-007423, sellOrderId=SELL-1763965655392-001387, tradeType=CRYPTO, price=1813.15, quantity=7, timestamp=1766466027555)
